120 | 120 g de sucre semoule @ QUANTITY
extrait | 2,5 ml  1/2 c. a the d'extrait de vanille @ INGREDIENT
de | 2,5 ml  1/2 c. a the d'extrait de vanille @ NONE
vanille | 2,5 ml  1/2 c. a the d'extrait de vanille @ INGREDIENT
100 | 100 g  2/3 tasse de farine tout usage non blanchie @ QUANTITY
g | 100 g  2/3 tasse de farine tout usage non blanchie @ UNIT
 | 100 g  2/3 tasse de farine tout usage non blanchie @ NONE
2/3 | 100 g  2/3 tasse de farine tout usage non blanchie @ NONE
tasse | 100 g  2/3 tasse de farine tout usage non blanchie @ NONE
de | 100 g  2/3 tasse de farine tout usage non blanchie @ NONE
farine | 100 g  2/3 tasse de farine tout usage non blanchie @ INGREDIENT
tout | 100 g  2/3 tasse de farine tout usage non blanchie @ NONE
usage | 100 g  2/3 tasse de farine tout usage non blanchie @ NONE
non | 100 g  2/3 tasse de farine tout usage non blanchie @ NONE
blanchie | 100 g  2/3 tasse de farine tout usage non blanchie @ NONE
2,5 | 2,5 ml  1/2 c. a the de poudre a pate @ QUANTITY
ml | 2,5 ml  1/2 c. a the de poudre a pate @ UNIT
 | 2,5 ml  1/2 c. a the de poudre a pate @ NONE
1/2 | 2,5 ml  1/2 c. a the de poudre a pate @ NONE
c. | 2,5 ml  1/2 c. a the de poudre a pate @ NONE
a | 2,5 ml  1/2 c. a the de poudre a pate @ NONE
the | 2,5 ml  1/2 c. a the de poudre a pate @ NONE
de | 2,5 ml  1/2 c. a the de poudre a pate @ NONE
poudre | 2,5 ml  1/2 c. a the de poudre a pate @ INGREDIENT
a | 2,5 ml  1/2 c. a the de poudre a pate @ INGREDIENT
pate | 2,5 ml  1/2 c. a the de poudre a pate @ INGREDIENT
1 | 1 ml  1/4 c. a the de sel @ QUANTITY
ml | 1 ml  1/4 c. a the de sel @ UNIT
 | 1 ml  1/4 c. a the de sel @ NONE
1/4 | 1 ml  1/4 c. a the de sel @ NONE
c. | 1 ml  1/4 c. a the de sel @ NONE
a | 1 ml  1/4 c. a the de sel @ NONE
the | 1 ml  1/4 c. a the de sel @ NONE
de | 1 ml  1/4 c. a the de sel @ NONE
sel | 1 ml  1/4 c. a the de sel @ INGREDIENT
4 | 4  œufs @ QUANTITY
 | 4  œufs @ NONE
œufs | 4  œufs @ INGREDIENT
105 | 105 g  1/2 tasse de sucre @ QUANTITY
g | 105 g  1/2 tasse de sucre @ UNIT
 | 105 g  1/2 tasse de sucre @ NONE
1/2 | 105 g  1/2 tasse de sucre @ NONE
tasse | 105 g  1/2 tasse de sucre @ NONE
de | 105 g  1/2 tasse de sucre @ NONE
sucre | 105 g  1/2 tasse de sucre @ INGREDIENT
5 | 5 ml  1 c. a the de gelatine @ QUANTITY
ml | 5 ml  1 c. a the de gelatine @ UNIT
 | 5 ml  1 c. a the de gelatine @ NONE
1 | 5 ml  1 c. a the de gelatine @ NONE
c. | 5 ml  1 c. a the de gelatine @ NONE
a | 5 ml  1 c. a the de gelatine @ NONE
the | 5 ml  1 c. a the de gelatine @ NONE
de | 5 ml  1 c. a the de gelatine @ NONE
gelatine | 5 ml  1 c. a the de gelatine @ INGREDIENT
180 | 180 ml  3/4 tasse de lait @ QUANTITY
ml | 180 ml  3/4 tasse de lait @ UNIT
 | 180 ml  3/4 tasse de lait @ NONE
3/4 | 180 ml  3/4 tasse de lait @ NONE
tasse | 180 ml  3/4 tasse de lait @ NONE
de | 180 ml  3/4 tasse de lait @ NONE
lait | 180 ml  3/4 tasse de lait @ INGREDIENT
180 | 180 ml  3/4 tasse de creme 35 % @ QUANTITY
ml | 180 ml  3/4 tasse de creme 35 % @ UNIT
 | 180 ml  3/4 tasse de creme 35 % @ NONE
3/4 | 180 ml  3/4 tasse de creme 35 % @ NONE
tasse | 180 ml  3/4 tasse de creme 35 % @ NONE
de | 180 ml  3/4 tasse de creme 35 % @ NONE
creme | 180 ml  3/4 tasse de creme 35 % @ INGREDIENT
35 | 180 ml  3/4 tasse de creme 35 % @ NONE
% | 180 ml  3/4 tasse de creme 35 % @ NONE
1/2 | 1/2 gousse de vanille, fendue en deux et grattee @ QUANTITY
gousse | 1/2 gousse de vanille, fendue en deux et grattee @ UNIT
de | 1/2 gousse de vanille, fendue en deux et grattee @ NONE
vanille, | 1/2 gousse de vanille, fendue en deux et grattee @ INGREDIENT
fendue | 1/2 gousse de vanille, fendue en deux et grattee @ NONE
en | 1/2 gousse de vanille, fendue en deux et grattee @ NONE
deux | 1/2 gousse de vanille, fendue en deux et grattee @ NONE
et | 1/2 gousse de vanille, fendue en deux et grattee @ NONE
grattee | 1/2 gousse de vanille, fendue en deux et grattee @ NONE
70 | 70 g  1/3 tasse de sucre @ QUANTITY
g | 70 g  1/3 tasse de sucre @ UNIT
 | 70 g  1/3 tasse de sucre @ NONE
1/3 | 70 g  1/3 tasse de sucre @ NONE
tasse | 70 g  1/3 tasse de sucre @ NONE
de | 70 g  1/3 tasse de sucre @ NONE
sucre | 70 g  1/3 tasse de sucre @ INGREDIENT
30 | 30 ml  2 c. a soupe de fecule de mais @ QUANTITY
ml | 30 ml  2 c. a soupe de fecule de mais @ UNIT
 | 30 ml  2 c. a soupe de fecule de mais @ NONE
2 | 30 ml  2 c. a soupe de fecule de mais @ NONE
c. | 30 ml  2 c. a soupe de fecule de mais @ NONE
a | 30 ml  2 c. a soupe de fecule de mais @ NONE
soupe | 30 ml  2 c. a soupe de fecule de mais @ NONE
de | 30 ml  2 c. a soupe de fecule de mais @ NONE
fecule | 30 ml  2 c. a soupe de fecule de mais @ INGREDIENT
de | 30 ml  2 c. a soupe de fecule de mais @ INGREDIENT
mais | 30 ml  2 c. a soupe de fecule de mais @ INGREDIENT
3 | 3  jaunes d'œufs @ QUANTITY
 | 3  jaunes d'œufs @ NONE
jaunes | 3  jaunes d'œufs @ NONE
d' | 3  jaunes d'œufs @ NONE
œufs | 3  jaunes d'œufs @ INGREDIENT
55 | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ QUANTITY
g | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ UNIT
 | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
1/4 | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
tasse | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
de | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
beurre | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ INGREDIENT
froid | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
non | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
sale, | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
 | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
coupe | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
en | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
des | 55 g  1/4 tasse de beurre froid non sale,  coupe en des @ NONE
85 | 85 g  3 oz de chocolat noir, hache @ QUANTITY
g | 85 g  3 oz de chocolat noir, hache @ UNIT
 | 85 g  3 oz de chocolat noir, hache @ NONE
3 | 85 g  3 oz de chocolat noir, hache @ NONE
oz | 85 g  3 oz de chocolat noir, hache @ NONE
de | 85 g  3 oz de chocolat noir, hache @ NONE
chocolat | 85 g  3 oz de chocolat noir, hache @ INGREDIENT
noir, | 85 g  3 oz de chocolat noir, hache @ INGREDIENT
hache | 85 g  3 oz de chocolat noir, hache @ NONE
90 | 90 ml  6 c. a soupe de creme 35 % @ QUANTITY
ml | 90 ml  6 c. a soupe de creme 35 % @ UNIT
 | 90 ml  6 c. a soupe de creme 35 % @ NONE
6 | 90 ml  6 c. a soupe de creme 35 % @ NONE
c. | 90 ml  6 c. a soupe de creme 35 % @ NONE
a | 90 ml  6 c. a soupe de creme 35 % @ NONE
soupe | 90 ml  6 c. a soupe de creme 35 % @ NONE
de | 90 ml  6 c. a soupe de creme 35 % @ NONE
creme | 90 ml  6 c. a soupe de creme 35 % @ INGREDIENT
35 % | 90 ml  6 c. a soupe de creme 35 % @ NONE
790 | 790 g 3 tasses de fromage ricotta @ QUANTITY
g | 790 g 3 tasses de fromage ricotta @ UNIT
3 | 790 g 3 tasses de fromage ricotta @ NONE
tasses | 790 g 3 tasses de fromage ricotta @ NONE
de | 790 g 3 tasses de fromage ricotta @ NONE
fromage | 790 g 3 tasses de fromage ricotta @ INGREDIENT
ricotta | 790 g 3 tasses de fromage ricotta @ INGREDIENT
210 | 210 g 1 tasse de sucre @ QUANTITY
g | 210 g 1 tasse de sucre @ UNIT
1 | 210 g 1 tasse de sucre @ NONE
tasse | 210 g 1 tasse de sucre @ NONE
de | 210 g 1 tasse de sucre @ NONE
sucre | 210 g 1 tasse de sucre @ INGREDIENT
35 | 35 g  ¼ tasse de farine tout usage non blanchie @ QUANTITY
g | 35 g  ¼ tasse de farine tout usage non blanchie @ UNIT
 | 35 g  ¼ tasse de farine tout usage non blanchie @ NONE
¼ | 35 g  ¼ tasse de farine tout usage non blanchie @ NONE
tasse | 35 g  ¼ tasse de farine tout usage non blanchie @ NONE
de | 35 g  ¼ tasse de farine tout usage non blanchie @ NONE
farine | 35 g  ¼ tasse de farine tout usage non blanchie @ INGREDIENT
tout | 35 g  ¼ tasse de farine tout usage non blanchie @ NONE
usage | 35 g  ¼ tasse de farine tout usage non blanchie @ NONE
non | 35 g  ¼ tasse de farine tout usage non blanchie @ NONE
blanchie | 35 g  ¼ tasse de farine tout usage non blanchie @ NONE
4 | 4  jaunes d'œufs @ QUANTITY
 | 4  jaunes d'œufs @ NONE
jaunes | 4  jaunes d'œufs @ NONE
d'œufs | 4  jaunes d'œufs @ INGREDIENT
 | 4  jaunes d'œufs @ NONE
1 | 1  citron, le zeste rape finement @ QUANTITY
 | 1  citron, le zeste rape finement @ NONE
citron, | 1  citron, le zeste rape finement @ INGREDIENT
le | 1  citron, le zeste rape finement @ NONE
zeste | 1  citron, le zeste rape finement @ NONE
rape | 1  citron, le zeste rape finement @ NONE
finement | 1  citron, le zeste rape finement @ NONE
 | 1  citron, le zeste rape finement @ NONE
15 | 15 ml 1 c. a soupe de jus de citron @ QUANTITY
ml | 15 ml 1 c. a soupe de jus de citron @ UNIT
1 | 15 ml 1 c. a soupe de jus de citron @ NONE
c. | 15 ml 1 c. a soupe de jus de citron @ NONE
a | 15 ml 1 c. a soupe de jus de citron @ NONE
soupe | 15 ml 1 c. a soupe de jus de citron @ NONE
de | 15 ml 1 c. a soupe de jus de citron @ NONE
jus | 15 ml 1 c. a soupe de jus de citron @ NONE
de | 15 ml 1 c. a soupe de jus de citron @ NONE
citron | 15 ml 1 c. a soupe de jus de citron @ INGREDIENT
 | 15 ml 1 c. a soupe de jus de citron @ NONE
4 | 4  blancs d'œufs @ QUANTITY
 | 4  blancs d'œufs @ NONE
blancs | 4  blancs d'œufs @ NONE
d'fs | 4  blancs d'œufs @ NONE
œufs | 4  blancs d'œufs @ INGREDIENT
Sucre | Sucre a glacer pour le service @ INGREDIENT
a | Sucre a glacer pour le service @ INGREDIENT
glacer | Sucre a glacer pour le service @ INGREDIENT
pour | Sucre a glacer pour le service @ NONE
le | Sucre a glacer pour le service @ NONE
service | Sucre a glacer pour le service @ NONE
420 | 420 g  3 tasses de farine tout usage non blanchie @ QUANTITY
g | 420 g  3 tasses de farine tout usage non blanchie @ UNIT
 | 420 g  3 tasses de farine tout usage non blanchie @ NONE
3 | 420 g  3 tasses de farine tout usage non blanchie @ NONE
tasses | 420 g  3 tasses de farine tout usage non blanchie @ NONE
de | 420 g  3 tasses de farine tout usage non blanchie @ NONE
farine | 420 g  3 tasses de farine tout usage non blanchie @ INGREDIENT
tout | 420 g  3 tasses de farine tout usage non blanchie @ NONE
usage | 420 g  3 tasses de farine tout usage non blanchie @ NONE
non | 420 g  3 tasses de farine tout usage non blanchie @ NONE
blanchie | 420 g  3 tasses de farine tout usage non blanchie @ NONE
15 | 15 ml  1 c. a soupe de poudre a pate @ QUANTITY
ml | 15 ml  1 c. a soupe de poudre a pate @ UNIT
 | 15 ml  1 c. a soupe de poudre a pate @ NONE
1 | 15 ml  1 c. a soupe de poudre a pate @ NONE
c. | 15 ml  1 c. a soupe de poudre a pate @ NONE
a | 15 ml  1 c. a soupe de poudre a pate @ NONE
soupe | 15 ml  1 c. a soupe de poudre a pate @ NONE
de | 15 ml  1 c. a soupe de poudre a pate @ NONE
poudre | 15 ml  1 c. a soupe de poudre a pate @ INGREDIENT
a | 15 ml  1 c. a soupe de poudre a pate @ INGREDIENT
pate | 15 ml  1 c. a soupe de poudre a pate @ INGREDIENT
2,5 | 2,5 ml  ½ c. a the de sel @ QUANTITY
ml | 2,5 ml  ½ c. a the de sel @ UNIT
 | 2,5 ml  ½ c. a the de sel @ NONE
½ | 2,5 ml  ½ c. a the de sel @ NONE
c. | 2,5 ml  ½ c. a the de sel @ NONE
a | 2,5 ml  ½ c. a the de sel @ NONE
the | 2,5 ml  ½ c. a the de sel @ NONE
de | 2,5 ml  ½ c. a the de sel @ NONE
sel | 2,5 ml  ½ c. a the de sel @ INGREDIENT
4 | 4  œufs @ QUANTITY
 | 4  œufs @ NONE
œufs | 4  œufs @ INGREDIENT
420 | 420 g  2 tasses de sucre @ QUANTITY
g | 420 g  2 tasses de sucre @ UNIT
 | 420 g  2 tasses de sucre @ NONE
2 | 420 g  2 tasses de sucre @ NONE
tasses | 420 g  2 tasses de sucre @ NONE
de | 420 g  2 tasses de sucre @ NONE
sucre | 420 g  2 tasses de sucre @ INGREDIENT
15 | 15 ml  1 c. a soupe d'extrait de vanille @ QUANTITY
ml | 15 ml  1 c. a soupe d'extrait de vanille @ UNIT
 | 15 ml  1 c. a soupe d'extrait de vanille @ NONE
1 | 15 ml  1 c. a soupe d'extrait de vanille @ NONE
c. | 15 ml  1 c. a soupe d'extrait de vanille @ NONE
a | 15 ml  1 c. a soupe d'extrait de vanille @ NONE
soupe | 15 ml  1 c. a soupe d'extrait de vanille @ NONE
d' | 15 ml  1 c. a soupe d'extrait de vanille @ NONE
extrait | 15 ml  1 c. a soupe d'extrait de vanille @ INGREDIENT
de | 15 ml  1 c. a soupe d'extrait de vanille @ INGREDIENT
vanille | 15 ml  1 c. a soupe d'extrait de vanille @ INGREDIENT
180 | 180 ml  ¾ tasse d'huile de canola @ QUANTITY
ml | 180 ml  ¾ tasse d'huile de canola @ UNIT
 | 180 ml  ¾ tasse d'huile de canola @ NONE
¾ | 180 ml  ¾ tasse d'huile de canola @ NONE
tasse | 180 ml  ¾ tasse d'huile de canola @ NONE
d' | 180 ml  ¾ tasse d'huile de canola @ NONE
huile | 180 ml  ¾ tasse d'huile de canola @ INGREDIENT
de | 180 ml  ¾ tasse d'huile de canola @ NONE
canola | 180 ml  ¾ tasse d'huile de canola @ NONE
310 | 310 ml  1 ¼ tasse de lait @ QUANTITY
ml | 310 ml  1 ¼ tasse de lait @ UNIT
 | 310 ml  1 ¼ tasse de lait @ NONE
1 | 310 ml  1 ¼ tasse de lait @ NONE
¼ | 310 ml  1 ¼ tasse de lait @ NONE
tasse | 310 ml  1 ¼ tasse de lait @ NONE
de | 310 ml  1 ¼ tasse de lait @ NONE
lait | 310 ml  1 ¼ tasse de lait @ INGREDIENT
500 | 500 g  2 ¼ tasses de beurre non sale, ramolli @ QUANTITY
g | 500 g  2 ¼ tasses de beurre non sale, ramolli @ UNIT
 | 500 g  2 ¼ tasses de beurre non sale, ramolli @ NONE
2 | 500 g  2 ¼ tasses de beurre non sale, ramolli @ NONE
¼ | 500 g  2 ¼ tasses de beurre non sale, ramolli @ NONE
tasses | 500 g  2 ¼ tasses de beurre non sale, ramolli @ NONE
de | 500 g  2 ¼ tasses de beurre non sale, ramolli @ NONE
beurre | 500 g  2 ¼ tasses de beurre non sale, ramolli @ INGREDIENT
non | 500 g  2 ¼ tasses de beurre non sale, ramolli @ NONE
sale, | 500 g  2 ¼ tasses de beurre non sale, ramolli @ NONE
ramolli | 500 g  2 ¼ tasses de beurre non sale, ramolli @ NONE
7,5 | 7,5 ml  1 ½ c. a the d'extrait de vanille @ QUANTITY
ml | 7,5 ml  1 ½ c. a the d'extrait de vanille @ UNIT
 | 7,5 ml  1 ½ c. a the d'extrait de vanille @ NONE
1 | 7,5 ml  1 ½ c. a the d'extrait de vanille @ NONE
½ | 7,5 ml  1 ½ c. a the d'extrait de vanille @ NONE
c. | 7,5 ml  1 ½ c. a the d'extrait de vanille @ NONE
a | 7,5 ml  1 ½ c. a the d'extrait de vanille @ NONE
the | 7,5 ml  1 ½ c. a the d'extrait de vanille @ NONE
extrait | 7,5 ml  1 ½ c. a the d'extrait de vanille @ INGREDIENT
de | 7,5 ml  1 ½ c. a the d'extrait de vanille @ INGREDIENT
vanille | 7,5 ml  1 ½ c. a the d'extrait de vanille @ INGREDIENT
780 | 780 g  6 tasses de sucre a glacer @ QUANTITY
g | 780 g  6 tasses de sucre a glacer @ UNIT
 | 780 g  6 tasses de sucre a glacer @ NONE
6 | 780 g  6 tasses de sucre a glacer @ NONE
tasses | 780 g  6 tasses de sucre a glacer @ NONE
de | 780 g  6 tasses de sucre a glacer @ NONE
sucre | 780 g  6 tasses de sucre a glacer @ INGREDIENT
a | 780 g  6 tasses de sucre a glacer @ INGREDIENT
glacer | 780 g  6 tasses de sucre a glacer @ INGREDIENT
5 | 5 ml  1 c. a the de cacao @ QUANTITY
ml | 5 ml  1 c. a the de cacao @ UNIT
 | 5 ml  1 c. a the de cacao @ NONE
1 | 5 ml  1 c. a the de cacao @ NONE
c. | 5 ml  1 c. a the de cacao @ NONE
a | 5 ml  1 c. a the de cacao @ NONE
the | 5 ml  1 c. a the de cacao @ NONE
de | 5 ml  1 c. a the de cacao @ NONE
cacao | 5 ml  1 c. a the de cacao @ INGREDIENT
2,5 | 2,5 ml  ½ c. a the de colorant en gel rouge @ QUANTITY
ml | 2,5 ml  ½ c. a the de colorant en gel rouge @ UNIT
 | 2,5 ml  ½ c. a the de colorant en gel rouge @ NONE
½ | 2,5 ml  ½ c. a the de colorant en gel rouge @ NONE
c. | 2,5 ml  ½ c. a the de colorant en gel rouge @ NONE
a | 2,5 ml  ½ c. a the de colorant en gel rouge @ NONE
the | 2,5 ml  ½ c. a the de colorant en gel rouge @ NONE
de | 2,5 ml  ½ c. a the de colorant en gel rouge @ NONE
colorant | 2,5 ml  ½ c. a the de colorant en gel rouge @ INGREDIENT
en | 2,5 ml  ½ c. a the de colorant en gel rouge @ NONE
gel | 2,5 ml  ½ c. a the de colorant en gel rouge @ NONE
rouge | 2,5 ml  ½ c. a the de colorant en gel rouge @ INGREDIENT
0,5 | 0,5 ml     1/8 c, a the de colorant en gel violet @ QUANTITY
ml | 0,5 ml     1/8 c, a the de colorant en gel violet @ UNIT
 | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
 | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
 | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
 | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
1/8 | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
c, | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
a | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
the | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
de | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
colorant | 0,5 ml     1/8 c, a the de colorant en gel violet @ INGREDIENT
en | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
gel | 0,5 ml     1/8 c, a the de colorant en gel violet @ NONE
violet | 0,5 ml     1/8 c, a the de colorant en gel violet @ INGREDIENT
0,5 | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ QUANTITY
ml | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ UNIT
 | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ NONE
1/8 | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ NONE
c. | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ NONE
a | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ NONE
the | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ NONE
de | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ NONE
colorant | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ INGREDIENT
en | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ NONE
gel | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ NONE
bleu | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ INGREDIENT
royal | 0,5 ml  1/8 c. a the de colorant en gel bleu royal @ NONE
0,5 | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ QUANTITY
ml | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ UNIT
 | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ NONE
1/8 | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ NONE
c. | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ NONE
a | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ NONE
the | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ NONE
de | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ NONE
colorant | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ INGREDIENT
en | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ NONE
gel | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ NONE
vert | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ INGREDIENT
irlandais | 0,5 ml  1/8 c. a the de colorant en gel vert irlandais @ NONE
0,5 | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ QUANTITY
ml | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ UNIT
 | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ NONE
1/8 | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ NONE
c. | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ NONE
a | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ NONE
the | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ NONE
de | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ NONE
colorant | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ INGREDIENT
en | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ NONE
gel | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ NONE
jaune | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ INGREDIENT
citron | 0,5 ml  1/8 c. a the de colorant en gel jaune citron @ NONE
0,5 | 0,5 ml  1/8 c. a the de colorant en gel orange @ QUANTITY
ml | 0,5 ml  1/8 c. a the de colorant en gel orange @ UNIT
 | 0,5 ml  1/8 c. a the de colorant en gel orange @ NONE
1/8 | 0,5 ml  1/8 c. a the de colorant en gel orange @ NONE
c. | 0,5 ml  1/8 c. a the de colorant en gel orange @ NONE
a | 0,5 ml  1/8 c. a the de colorant en gel orange @ NONE
the | 0,5 ml  1/8 c. a the de colorant en gel orange @ NONE
de | 0,5 ml  1/8 c. a the de colorant en gel orange @ NONE
colorant | 0,5 ml  1/8 c. a the de colorant en gel orange @ INGREDIENT
en | 0,5 ml  1/8 c. a the de colorant en gel orange @ NONE
gel | 0,5 ml  1/8 c. a the de colorant en gel orange @ NONE
orange | 0,5 ml  1/8 c. a the de colorant en gel orange @ INGREDIENT
420 | 420 g  3 tasses de farine tout usage non blanchie @ QUANTITY
g | 420 g  3 tasses de farine tout usage non blanchie @ UNIT
 | 420 g  3 tasses de farine tout usage non blanchie @ NONE
3 | 420 g  3 tasses de farine tout usage non blanchie @ NONE
tasses | 420 g  3 tasses de farine tout usage non blanchie @ NONE
de | 420 g  3 tasses de farine tout usage non blanchie @ NONE
farine | 420 g  3 tasses de farine tout usage non blanchie @ INGREDIENT
tout | 420 g  3 tasses de farine tout usage non blanchie @ NONE
usage | 420 g  3 tasses de farine tout usage non blanchie @ NONE
non | 420 g  3 tasses de farine tout usage non blanchie @ NONE
blanchie | 420 g  3 tasses de farine tout usage non blanchie @ NONE
15 | 15 ml  1 c. a soupe de poudre a pate @ QUANTITY
ml | 15 ml  1 c. a soupe de poudre a pate @ UNIT
 | 15 ml  1 c. a soupe de poudre a pate @ NONE
1 | 15 ml  1 c. a soupe de poudre a pate @ NONE
c. | 15 ml  1 c. a soupe de poudre a pate @ NONE
a | 15 ml  1 c. a soupe de poudre a pate @ NONE
soupe | 15 ml  1 c. a soupe de poudre a pate @ NONE
de | 15 ml  1 c. a soupe de poudre a pate @ NONE
poudre | 15 ml  1 c. a soupe de poudre a pate @ INGREDIENT
a | 15 ml  1 c. a soupe de poudre a pate @ NONE
pate | 15 ml  1 c. a soupe de poudre a pate @ INGREDIENT
2,5 | 2,5 ml  ½ c. a the de sel @ QUANTITY
ml | 2,5 ml  ½ c. a the de sel @ UNIT
 | 2,5 ml  ½ c. a the de sel @ NONE
½ | 2,5 ml  ½ c. a the de sel @ NONE
c. | 2,5 ml  ½ c. a the de sel @ NONE
a | 2,5 ml  ½ c. a the de sel @ NONE
the | 2,5 ml  ½ c. a the de sel @ NONE
de | 2,5 ml  ½ c. a the de sel @ NONE
sel | 2,5 ml  ½ c. a the de sel @ INGREDIENT
4 | 4  œufs @ QUANTITY
 | 4  œufs @ NONE
œufs | 4  œufs @ INGREDIENT
420 | 420 g  2 tasses de sucre @ QUANTITY
g | 420 g  2 tasses de sucre @ UNIT
 | 420 g  2 tasses de sucre @ NONE
2 | 420 g  2 tasses de sucre @ NONE
tasses | 420 g  2 tasses de sucre @ NONE
